icd_code,disease_name,chapter,synonyms,short_desc
L250,Unspecified contact dermatitis due to cosmetics,Skin,,
L270,Generalized skin eruption due to drugs and medicaments taken internally,Skin,,
L280,Lichen simplex chronicus,Skin,,
L290,Pruritus ani,Skin,,
L300,Nummular dermatitis,Skin,,
L400,Psoriasis vulgaris,Skin,,
L410,Pityriasis lichenoides et varioliformis acuta,Skin,,
L430,Hypertrophic lichen planus,Skin,,
L440,Pityriasis rubra pilaris,Skin,,
L490,Exfoliation due to erythematous condition involving less than 10 percent of body surface,Skin,,
L500,Allergic urticaria,Skin,,
L510,Nonbullous erythema multiforme,Skin,,
L530,Toxic erythema,Skin,,
L550,Sunburn of first degree,Skin,,
L560,Drug phototoxic response,Skin,,
L570,Actinic keratosis,Skin,,
L580,Acute radiodermatitis,Skin,,
L590,Erythema ab igne [dermatitis ab igne],Skin,,
L600,Ingrowing nail,Skin,,
M009,"Pyogenic arthritis, unspecified",Musculoskeletal,,
M029,"Reactive arthropathy, unspecified",Musculoskeletal,,
M041,Periodic fever syndromes,Musculoskeletal,,
M059,"Rheumatoid arthritis with rheumatoid factor, unspecified",Musculoskeletal,,
M061,Adult-onset Still's disease,Musculoskeletal,,
M081,Juvenile ankylosing spondylitis,Musculoskeletal,,
M109,"Gout, unspecified",Musculoskeletal,,
M119,"Crystal arthropathy, unspecified",Musculoskeletal,,
M129,"Arthropathy, unspecified",Musculoskeletal,,
M130,"Polyarthritis, unspecified",Musculoskeletal,,
M150,Primary generalized (osteo)arthritis,Musculoskeletal,,
M160,Bilateral primary osteoarthritis of hip,Musculoskeletal,,
M170,Bilateral primary osteoarthritis of knee,Musculoskeletal,,
M180,Bilateral primary osteoarthritis of first carpometacarpal joints,Musculoskeletal,,
M247,Protrusio acetabuli,Musculoskeletal,,
M259,"Joint disorder, unspecified",Musculoskeletal,,
M264,"Malocclusion, unspecified",Musculoskeletal,,
M270,Developmental disorders of jaws,Musculoskeletal,,
M300,Polyarteritis nodosa,Musculoskeletal,,
M310,Hypersensitivity angiitis,Musculoskeletal,,
M320,Drug-induced systemic lupus erythematosus,Musculoskeletal,,
M340,Progressive systemic sclerosis,Musculoskeletal,,
M351,Other overlap syndromes,Musculoskeletal,,
M360,Dermato(poly)myositis in neoplastic disease,Musculoskeletal,,
M419,"Scoliosis, unspecified",Musculoskeletal,,
M429,"Spinal osteochondrosis, unspecified",Musculoskeletal,,
M433,Recurrent atlantoaxial dislocation with myelopathy,Musculoskeletal,,
M450,Ankylosing spondylitis of multiple sites in spine,Musculoskeletal,,
M461,"Sacroiliitis, not elsewhere classified",Musculoskeletal,,
M479,"Spondylosis, unspecified",Musculoskeletal,,
M489,"Spondylopathy, unspecified",Musculoskeletal,,
M519,"Unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder",Musculoskeletal,,
M530,Cervicocranial syndrome,Musculoskeletal,,
M542,Cervicalgia,Musculoskeletal,osteoporosis|Osteoporosis disorder|Osteoporosis disease,Osteoporosis within Diseases of the musculoskeletal system and connective tissue. Category-level grouping.
M609,"Myositis, unspecified",Musculoskeletal,,
M619,"Calcification and ossification of muscle, unspecified",Musculoskeletal,,
M623,Immobility syndrome (paraplegic),Musculoskeletal,,
M654,Radial styloid tenosynovitis [de Quervain],Musculoskeletal,,
M660,Rupture of popliteal cyst,Musculoskeletal,,
M719,"Bursopathy, unspecified",Musculoskeletal,,
M720,Palmar fascial fibromatosis [Dupuytren],Musculoskeletal,,
M769,"Unspecified enthesopathy, lower limb, excluding foot",Musculoskeletal,,
M778,"Other enthesopathies, not elsewhere classified",Musculoskeletal,,
M790,"Rheumatism, unspecified",Musculoskeletal,,
M810,Age-related osteoporosis without current pathological fracture,Musculoskeletal,,
M830,Puerperal osteomalacia,Musculoskeletal,,
M849,"Disorder of continuity of bone, unspecified",Musculoskeletal,,
M852,Hyperostosis of skull,Musculoskeletal,,
M869,"Osteomyelitis, unspecified",Musculoskeletal,,
M879,"Osteonecrosis, unspecified",Musculoskeletal,,
N000,Acute nephritic syndrome with minor glomerular abnormality,Genitourinary,,
N010,Rapidly progressive nephritic syndrome with minor glomerular abnormality,Genitourinary,,
N020,Recurrent and persistent hematuria with minor glomerular abnormality,Genitourinary,,
N030,Chronic nephritic syndrome with minor glomerular abnormality,Genitourinary,,
N040,Nephrotic syndrome with minor glomerular abnormality,Genitourinary,,
N050,Unspecified nephritic syndrome with minor glomerular abnormality,Genitourinary,,
N060,Isolated proteinuria with minor glomerular abnormality,Genitourinary,,
N070,"Hereditary nephropathy, not elsewhere classified with minor glomerular abnormality",Genitourinary,,
N110,Nonobstructive reflux-associated chronic pyelonephritis,Genitourinary,,
N130,Hydronephrosis with ureteropelvic junction obstruction,Genitourinary,,
N140,Analgesic nephropathy,Genitourinary,,
N150,Balkan nephropathy,Genitourinary,,
N170,Acute kidney failure with tubular necrosis,Genitourinary,,
N181,"Chronic kidney disease, stage 1",Genitourinary,,
N200,Calculus of kidney,Genitourinary,,
N210,Calculus in bladder,Genitourinary,,
N250,Renal osteodystrophy,Genitourinary,,
N261,Atrophy of kidney (terminal),Genitourinary,,
N270,"Small kidney, unilateral",Genitourinary,,
N280,Ischemia and infarction of kidney,Genitourinary,,
N310,"Uninhibited neuropathic bladder, not elsewhere classified",Genitourinary,,
N320,Bladder-neck obstruction,Genitourinary,ckd|CKD disorder|CKD disease,CKD within Diseases of the genitourinary system. Category-level grouping.
N340,Urethral abscess,Genitourinary,,
N360,Urethral fistula,Genitourinary,,
N390,"Urinary tract infection, site not specified",Genitourinary,,
N400,Benign prostatic hyperplasia without lower urinary tract symptoms,Genitourinary,,
N410,Acute prostatitis,Genitourinary,,
N420,Calculus of prostate,Genitourinary,,
N430,Encysted hydrocele,Genitourinary,,
N441,Cyst of tunica albuginea testis,Genitourinary,,
N451,Epididymitis,Genitourinary,,
N468,Other male infertility,Genitourinary,,
N470,"Adherent prepuce, newborn",Genitourinary,,
N480,Leukoplakia of penis,Genitourinary,prostate disorder|Prostate disorder disorder|Prostate disorder disease,Prostate disorder within Diseases of the genitourinary system. Category-level grouping.
N490,Inflammatory disorders of seminal vesicle,Genitourinary,,
N500,Atrophy of testis,Genitourinary,,
N521,Erectile dysfunction due to diseases classified elsewhere,Genitourinary,,
N538,Other male sexual dysfunction,Genitourinary,,
N610,Mastitis without abscess,Genitourinary,,
N630,Unspecified lump in unspecified breast,Genitourinary,,
N640,Fissure and fistula of nipple,Genitourinary,,
N650,Deformity of reconstructed breast,Genitourinary,,
N710,Acute inflammatory disease of uterus,Genitourinary,,
N730,Acute parametritis and pelvic cellulitis,Genitourinary,,
N750,Cyst of Bartholin's gland,Genitourinary,,
R000,"Tachycardia, unspecified",Symptoms and signs,,
R010,Benign and innocent cardiac murmurs,Symptoms and signs,,
R030,"Elevated blood-pressure reading, without diagnosis of hypertension",Symptoms and signs,,
R040,Epistaxis,Symptoms and signs,,
R051,Acute cough,Symptoms and signs,,
R061,Stridor,Symptoms and signs,,
R070,Pain in throat,Symptoms and signs,,
R091,Pleurisy,Symptoms and signs,,
R100,Acute abdomen,Symptoms and signs,,
R110,Nausea,Symptoms and signs,,
R130,Aphagia,Symptoms and signs,,
R140,Abdominal distension (gaseous),Symptoms and signs,,
R150,Incomplete defecation,Symptoms and signs,,
R160,"Hepatomegaly, not elsewhere classified",Symptoms and signs,,
R180,Malignant ascites,Symptoms and signs,,
R192,Visible peristalsis,Symptoms and signs,,
R200,Anesthesia of skin,Symptoms and signs,,
R220,"Localized swelling, mass and lump, head",Symptoms and signs,,
R230,Cyanosis,Symptoms and signs,,
R250,Abnormal head movements,Symptoms and signs,,
R260,Ataxic gait,Symptoms and signs,,
R270,"Ataxia, unspecified",Symptoms and signs,,
R290,Tetany,Symptoms and signs,,
R300,Dysuria,Symptoms and signs,,
R310,Gross hematuria,Symptoms and signs,,
R330,Drug induced retention of urine,Symptoms and signs,,
R350,Frequency of micturition,Symptoms and signs,,
R360,Urethral discharge without blood,Symptoms and signs,,
R390,Extravasation of urine,Symptoms and signs,,
R400,Somnolence,Symptoms and signs,,
R410,"Disorientation, unspecified",Symptoms and signs,,
R430,Anosmia,Symptoms and signs,,
R440,Auditory hallucinations,Symptoms and signs,,
R450,Nervousness,Symptoms and signs,,
R460,Very low level of personal hygiene,Symptoms and signs,,
R471,Dysarthria and anarthria,Symptoms and signs,,
R480,Dyslexia and alexia,Symptoms and signs,,
R490,Dysphonia,Symptoms and signs,,
R502,Drug induced fever,Symptoms and signs,,
R510,"Headache with orthostatic component, not elsewhere classified",Symptoms and signs,,
U070,Vaping-related disorder,COVID/special,,
U099,"Post COVID-19 condition, unspecified",COVID/special,,
