icd_code,disease_name,chapter,synonyms,short_desc
C430,Malignant melanoma of lip,Neoplasms,,
C450,Mesothelioma of pleura,Neoplasms,,
C460,Kaposi's sarcoma of skin,Neoplasms,,
C470,"Malignant neoplasm of peripheral nerves of head, face and neck",Neoplasms,,
C480,Malignant neoplasm of retroperitoneum,Neoplasms,,
C490,"Malignant neoplasm of connective and soft tissue of head, face and neck",Neoplasms,,
C4A0,Merkel cell carcinoma of lip,Neoplasms,,
C510,Malignant neoplasm of labium majus,Neoplasms,,
C530,Malignant neoplasm of endocervix,Neoplasms,,
C540,Malignant neoplasm of isthmus uteri,Neoplasms,,
C561,Malignant neoplasm of right ovary,Neoplasms,,
C573,Malignant neoplasm of parametrium,Neoplasms,,
C600,Malignant neoplasm of prepuce,Neoplasms,,
C632,Malignant neoplasm of scrotum,Neoplasms,,
D001,Carcinoma in situ of esophagus,Blood disorders,,
D010,Carcinoma in situ of colon,Blood disorders,,
D020,Carcinoma in situ of larynx,Blood disorders,,
D030,Melanoma in situ of lip,Blood disorders,,
D040,Carcinoma in situ of skin of lip,Blood disorders,,
D060,Carcinoma in situ of endocervix,Blood disorders,,
D070,Carcinoma in situ of endometrium,Blood disorders,,
D090,Carcinoma in situ of bladder,Blood disorders,,
D100,Benign neoplasm of lip,Blood disorders,,
D110,Benign neoplasm of parotid gland,Blood disorders,,
D120,Benign neoplasm of cecum,Blood disorders,,
D130,Benign neoplasm of esophagus,Blood disorders,,
D140,"Benign neoplasm of middle ear, nasal cavity and accessory sinuses",Blood disorders,,
D150,Benign neoplasm of thymus,Blood disorders,,
D164,Benign neoplasm of bones of skull and face,Blood disorders,,
D170,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck",Blood disorders,,
D181,"Lymphangioma, any site",Blood disorders,,
D190,Benign neoplasm of mesothelial tissue of pleura,Blood disorders,,
D200,Benign neoplasm of soft tissue of retroperitoneum,Blood disorders,,
D210,"Benign neoplasm of connective and other soft tissue of head, face and neck",Blood disorders,,
D220,Melanocytic nevi of lip,Blood disorders,,
D230,Other benign neoplasm of skin of lip,Blood disorders,,
D241,Benign neoplasm of right breast,Blood disorders,,
D250,Submucous leiomyoma of uterus,Blood disorders,,
D260,Other benign neoplasm of cervix uteri,Blood disorders,,
D270,Benign neoplasm of right ovary,Blood disorders,,
D280,Benign neoplasm of vulva,Blood disorders,,
D290,Benign neoplasm of penis,Blood disorders,,
D303,Benign neoplasm of bladder,Blood disorders,,
D320,Benign neoplasm of cerebral meninges,Blood disorders,,
E000,"Congenital iodine-deficiency syndrome, neurological type",Endocrine/metabolic,,
E010,Iodine-deficiency related diffuse (endemic) goiter,Endocrine/metabolic,,
E030,Congenital hypothyroidism with diffuse goiter,Endocrine/metabolic,,
E040,Nontoxic diffuse goiter,Endocrine/metabolic,,
E060,Acute thyroiditis,Endocrine/metabolic,,
E070,Hypersecretion of calcitonin,Endocrine/metabolic,,
E088,Diabetes mellitus due to underlying condition with unspecified complications,Endocrine/metabolic,,
E098,Drug or chemical induced diabetes mellitus with unspecified complications,Endocrine/metabolic,,
E108,Type 1 diabetes mellitus with unspecified complications,Endocrine/metabolic,,
E118,Type 2 diabetes mellitus with unspecified complications,Endocrine/metabolic,,
E138,Other specified diabetes mellitus with unspecified complications,Endocrine/metabolic,,
E160,Drug-induced hypoglycemia without coma,Endocrine/metabolic,,
E200,Idiopathic hypoparathyroidism,Endocrine/metabolic,,
E210,Primary hyperparathyroidism,Endocrine/metabolic,,
E220,Acromegaly and pituitary gigantism,Endocrine/metabolic,obesity|Obesity disorder|Obesity disease,"Obesity within Endocrine, nutritional and metabolic diseases. Category-level grouping."
E230,Hypopituitarism,Endocrine/metabolic,,
E240,Pituitary-dependent Cushing's disease,Endocrine/metabolic,,
E250,Congenital adrenogenital disorders associated with enzyme deficiency,Endocrine/metabolic,type 2 diabetes|Type 2 diabetes disorder|Type 2 diabetes disease,"Type 2 diabetes within Endocrine, nutritional and metabolic diseases. Category-level grouping."
E261,Secondary hyperaldosteronism,Endocrine/metabolic,,
E270,Other adrenocortical overactivity,Endocrine/metabolic,,
E280,Estrogen excess,Endocrine/metabolic,,
E290,Testicular hyperfunction,Endocrine/metabolic,,
E300,Delayed puberty,Endocrine/metabolic,,
E310,Autoimmune polyglandular failure,Endocrine/metabolic,,
E320,Persistent hyperplasia of thymus,Endocrine/metabolic,,
E341,Other hypersecretion of intestinal hormones,Endocrine/metabolic,,
E368,Other intraoperative complications of endocrine system,Endocrine/metabolic,,
E440,Moderate protein-calorie malnutrition,Endocrine/metabolic,,
